County,Year,Number of jurisdictions reporting,Total acres,Total estimated value,Estimated value per acre
Aitkin,2000,60,256552,84955600,331
Aitkin,2001,60,255677,92315800,361
Aitkin,2002,60,247138,107234000,434
Aitkin,2003,60,243851,133154300,546
Aitkin,2004,60,239324,178379300,745
Aitkin,2005,60,235688,241500000,1025
Aitkin,2006,60,231827,261500700,1128
Aitkin,2007,60,228173,297605000,1304
Aitkin,2008,60,226112,319582500,1413
Anoka,2000,21,72331,250364300,3461
Anoka,2001,21,69689,276661000,3970
Anoka,2002,21,67975,380101100,5592
Anoka,2003,21,65810,374956900,5698
Anoka,2004,21,62367,398504100,6390
Anoka,2005,21,60028,404269200,6735
Anoka,2006,21,57385,446098700,7774
Anoka,2007,21,56571,520034700,9193
Anoka,2008,21,55159,513988550,9318
Becker,2000,44,503878,236145855,469
Becker,2001,44,499946,294938140,590
Becker,2002,44,491369,340967760,694
Becker,2003,44,489445,362851940,741
Becker,2004,44,479627,433548700,904
Becker,2005,44,477533,519398840,1088
Becker,2006,44,472753,590765600,1250
Becker,2007,44,469404,673858360,1436
Becker,2008,44,465837,708526485,1521
Beltrami,2000,60,334607,94497275,282
Beltrami,2001,60,333471,107926650,324
Beltrami,2002,60,330332,120868490,366
Beltrami,2003,60,328359,129137580,393
Beltrami,2004,60,328332,154172610,470
Beltrami,2005,60,324987,201476850,620
Beltrami,2006,60,319018,256953250,805
Beltrami,2007,60,317759,318133475,1001
Beltrami,2008,60,307281,318911875,1038
Benton,2000,19,220049,190673500,867
Benton,2001,19,219093,232890300,1063
Benton,2002,19,218167,280852750,1287
Benton,2003,19,216673,337240300,1556
Benton,2004,19,215768,352929300,1636
Benton,2005,19,214654,442558200,2062
Benton,2006,19,214404,603503500,2815
Benton,2007,20,213524,637916400,2988
Benton,2008,20,213641,639498500,2993
Big Stone,2000,22,297014,187187980,630
Big Stone,2001,22,296710,192218880,648
Big Stone,2002,22,296028,205665780,695
Big Stone,2003,22,296020,236200280,798
Big Stone,2004,22,295834,283715030,959
Big Stone,2005,22,295820,351688440,1189
Big Stone,2006,22,294603,442865340,1503
Big Stone,2007,22,293566,452525990,1541
Big Stone,2008,22,293183,567703940,1936
Blue Earth,2000,35,439575,722209995,1643
Blue Earth,2001,35,439203,787165876,1792
Blue Earth,2002,35,438150,795746900,1816
Blue Earth,2003,35,436239,903532280,2071
Blue Earth,2004,35,435579,1072135075,2461
Blue Earth,2005,35,527563,1189483000,2255
Blue Earth,2006,35,527563,1488149500,2821
Blue Earth,2007,35,429657,1474883800,3433
Blue Earth,2008,35,430268,1678699200,3902
Brown,2000,23,371007,570833500,1539
Brown,2001,23,370856,587167200,1583
Brown,2002,23,370603,613416500,1655
Brown,2003,23,370438,695057400,1876
Brown,2004,23,369548,699546700,1893
Brown,2005,23,369122,832030700,2254
Brown,2006,23,366144,935584500,2555
Brown,2007,23,365738,943883600,2581
Brown,2008,23,364685,1084128200,2973
Carlton,2000,34,167528,60492100,361
Carlton,2001,34,162232,75740900,467
Carlton,2002,34,161396,90134600,558
Carlton,2003,34,159162,106438500,669
Carlton,2004,34,157114,124837100,795
Carlton,2005,34,152942,154704400,1012
Carlton,2006,34,153388,188965800,1232
Carlton,2007,34,152790,198708100,1301
Carlton,2008,34,149893,210574300,1405
Carver,2000,22,179332,339377600,1892
Carver,2001,22,178098,423312850,2377
Carver,2002,22,175538,497461200,2834
Carver,2003,22,174253,571035450,3277
Carver,2004,22,173334,698446850,4029
Carver,2005,21,171733,888565000,5174
Carver,2006,21,169310,1131299450,6682
Carver,2007,21,167806,1293805500,7710
Carver,2008,21,167854,1289936450,7685
Cass,2000,76,248490,94313200,380
Cass,2001,76,246265,121200800,492
Cass,2002,76,243528,150575900,618
Cass,2003,76,240913,174647900,725
Cass,2004,76,237281,210337600,886
Cass,2005,76,234904,233207600,993
Cass,2006,76,231497,313202000,1353
Cass,2007,76,231871,339872800,1466
Cass,2008,76,225194,363370900,1614
Chippewa,2000,22,349994,412020900,1177
Chippewa,2001,22,349726,422687700,1209
Chippewa,2002,22,349526,454069500,1299
Chippewa,2003,22,348965,464740400,1332
Chippewa,2004,22,348832,590085700,1692
Chippewa,2005,22,348347,649152500,1864
Chippewa,2006,22,348006,785203500,2256
Chippewa,2007,22,347506,874806900,2517
Chippewa,2008,22,345953,888139200,2567
Chisago,2000,20,191733,315334400,1645
Chisago,2001,20,187789,387415600,2063
Chisago,2002,20,186236,475531900,2553
Chisago,2003,20,185379,572405200,3088
Chisago,2004,20,182796,725736847,3970
Chisago,2005,20,180587,831884024,4607
Chisago,2006,20,177257,871203959,4915
Chisago,2007,20,176346,976046721,5535
Chisago,2008,20,173881,903574921,5197
Clay,2000,41,610208,460874300,755
Clay,2001,41,608623,463910200,762
Clay,2002,41,607315,466635600,768
Clay,2003,41,606996,478117800,788
Clay,2004,41,602811,558395600,926
Clay,2005,41,600542,647253500,1078
Clay,2006,41,596476,768468700,1288
Clay,2007,41,598415,814016500,1360
Clay,2008,41,595865,964096900,1618
Clearwater,2000,27,301607,89366570,296
Clearwater,2001,27,300937,89333462,297
Clearwater,2002,27,300875,104853416,348
Clearwater,2003,27,298855,119624865,400
Clearwater,2004,27,299262,135196030,452
Clearwater,2005,27,300112,175143768,584
Clearwater,2006,28,299730,230687065,770
Clearwater,2007,28,291316,254575165,874
Clearwater,2008,28,288472,251026930,870
Cook,2000,15,2099,1985800,946
Cook,2001,15,2132,2276500,1068
Cook,2002,15,2146,2617700,1220
Cook,2003,15,2111,2731200,1294
Cook,2004,15,2370,3506400,1479
Cook,2005,15,2375,4656200,1961
Cook,2006,15,2364,5664000,2396
Cook,2007,15,2362,7100700,3006
Cook,2008,15,2405,7248100,3014
Cottonwood,2000,25,391797,520614700,1329
Cottonwood,2001,25,391714,559444600,1428
Cottonwood,2002,25,391534,596744600,1524
Cottonwood,2003,25,391134,601337200,1537
Cottonwood,2004,25,389644,687753000,1765
Cottonwood,2005,25,389388,788653400,2025
Cottonwood,2006,25,389104,880316000,2262
Cottonwood,2007,25,388025,940844900,2425
Cottonwood,2008,25,387812,1123988400,2898
Crow Wing,2000,49,167928,103754500,618
Crow Wing,2001,49,167678,123370700,736
Crow Wing,2002,48,166188,149984400,902
Crow Wing,2003,48,165080,164221200,995
Crow Wing,2004,48,163638,184026800,1125
Crow Wing,2005,48,161939,239621500,1480
Crow Wing,2006,48,161200,280050600,1737
Crow Wing,2007,48,158907,353717000,2226
Crow Wing,2008,48,155760,357482700,2295
Dakota,2000,34,222516,533352800,2397
Dakota,2001,34,219771,630815200,2870
Dakota,2002,34,216269,801804000,3707
Dakota,2003,34,214036,857457500,4006
Dakota,2004,34,212712,930592100,4375
Dakota,2005,34,210901,1121941100,5320
Dakota,2006,34,208810,1297752000,6215
Dakota,2007,34,207872,1665478500,8012
Dakota,2008,34,204842,1685602400,8229
Dodge,2000,19,266299,442090700,1660
Dodge,2001,19,265695,446843300,1682
Dodge,2002,19,265188,475586100,1793
Dodge,2003,19,264852,514836600,1944
Dodge,2004,19,264494,610678100,2309
Dodge,2005,19,264202,684518100,2591
Dodge,2006,19,263739,740419000,2807
Dodge,2007,19,263118,855852700,3253
