County,Year,Number.of.jurisdictions.reporting,Total.acres,Total.estimated.value,Estimated.value.per.acre,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Aitkin,2000,60,256552,84955600,331,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Aitkin,2001,60,255677,92315800,361,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Aitkin,2002,60,247138,107234e3,434,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Aitkin,2003,60,243851,133154300,546,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Aitkin,2004,60,239324,178379300,745,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Aitkin,2005,60,235688,2415e5,1025,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Aitkin,2006,60,231827,261500700,1128,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Aitkin,2007,60,228173,297605e3,1304,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Aitkin,2008,60,226112,319582500,1413,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
Anoka,2000,21,72331,250364300,3461,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Anoka,2001,21,69689,276661e3,3970,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Anoka,2002,21,67975,380101100,5592,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Anoka,2003,21,65810,374956900,5698,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Anoka,2004,21,62367,398504100,6390,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Anoka,2005,21,60028,404269200,6735,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Anoka,2006,21,57385,446098700,7774,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Anoka,2007,21,56571,520034700,9193,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Anoka,2008,21,55159,513988550,9318,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,2000,44,503878,236145855,469,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Becker,2001,44,499946,294938140,590,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Becker,2002,44,491369,340967760,694,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Becker,2003,44,489445,362851940,741,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Becker,2004,44,479627,433548700,904,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Becker,2005,44,477533,519398840,1088,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Becker,2006,44,472753,590765600,1250,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Becker,2007,44,469404,673858360,1436,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Becker,2008,44,465837,708526485,1521,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
Beltrami,2000,60,334607,94497275,282,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Beltrami,2001,60,333471,107926650,324,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Beltrami,2002,60,330332,120868490,366,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Beltrami,2003,60,328359,129137580,393,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Beltrami,2004,60,328332,154172610,470,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Beltrami,2005,60,324987,201476850,620,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Beltrami,2006,60,319018,256953250,805,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Beltrami,2007,60,317759,318133475,1001,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Beltrami,2008,60,307281,318911875,1038,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Benton,2000,19,220049,190673500,867,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Benton,2001,19,219093,232890300,1063,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Benton,2002,19,218167,280852750,1287,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Benton,2003,19,216673,337240300,1556,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Benton,2004,19,215768,352929300,1636,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Benton,2005,19,214654,442558200,2062,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Benton,2006,19,214404,603503500,2815,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Benton,2007,20,213524,637916400,2988,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Benton,2008,20,213641,639498500,2993,009,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Big Stone,2000,22,297014,187187980,630,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Big Stone,2001,22,296710,192218880,648,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Big Stone,2002,22,296028,205665780,695,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Big Stone,2003,22,296020,236200280,798,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Big Stone,2004,22,295834,283715030,959,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Big Stone,2005,22,295820,351688440,1189,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Big Stone,2006,22,294603,442865340,1503,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Big Stone,2007,22,293566,452525990,1541,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Big Stone,2008,22,293183,567703940,1936,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Blue Earth,2000,35,439575,722209995,1643,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Blue Earth,2001,35,439203,787165876,1792,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Blue Earth,2002,35,438150,795746900,1816,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Blue Earth,2003,35,436239,903532280,2071,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Blue Earth,2004,35,435579,1072135075,2461,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Blue Earth,2005,35,527563,1189483e3,2255,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Blue Earth,2006,35,527563,1488149500,2821,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Blue Earth,2007,35,429657,1474883800,3433,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Blue Earth,2008,35,430268,1678699200,3902,013,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
Brown,2000,23,371007,570833500,1539,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Brown,2001,23,370856,587167200,1583,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Brown,2002,23,370603,613416500,1655,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Brown,2003,23,370438,695057400,1876,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Brown,2004,23,369548,699546700,1893,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Brown,2005,23,369122,832030700,2254,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Brown,2006,23,366144,935584500,2555,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Brown,2007,23,365738,943883600,2581,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
