periodyear,edr,planning.region,ag.emp,total.emp,ag.emp.index,total.emp.index,ag.pct.total.emp
2001,EDR 1 - Northwest,Northwest,2118,36026,1,1,0.05879087325820241
2001,EDR 2 - Headwaters,Northwest,926,29908,1,1,0.030961615621238465
2001,EDR 3 - Arrowhead,Northeast,902,139017,1,1,0.006488415085924743
2001,EDR 4 - West Central,Northwest,4918,78884,1,1,0.062344708686172104
2001,EDR 5 - North Central,Northwest,1856,58570,1,1,0.03168857777018952
2001,EDR 6E- Southwest Central,Central,5568,51973,1,1,0.10713254959305793
2001,EDR 6W- Upper Minnesota Valley,Southwest,1875,18401,1,1,0.10189663605238845
2001,EDR 7E- East Central,Central,662,43957,1,1,0.015060172441249403
2001,EDR 7W- Central,Central,4950,140829,1,1,0.03514901050209829
2001,EDR 8 - Southwest,Southwest,8838,53213,1,1,0.16608723432244
2001,EDR 9 - South Central,Southwest,9062,103128,1,1,0.08787138313552091
2001,EDR 10 - Southeast,Southeast,13802,226979,1,1,0.060807387467563076
2001,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,18958,1598237,1,1,0.011861820243180455
2002,EDR 1 - Northwest,Northwest,1984,36028,0.9367327667610954,1.000055515461056,0.055068280226490504
2002,EDR 2 - Headwaters,Northwest,930,30567,1.0043196544276458,1.0220342383308814,0.030424968102856022
2002,EDR 3 - Arrowhead,Northeast,803,138678,0.8902439024390244,0.997561449319148,0.005790392131412337
2002,EDR 4 - West Central,Northwest,4833,79876,0.9827165514436763,1.0125754272095735,0.060506284741349094
2002,EDR 5 - North Central,Northwest,1908,59476,1.0280172413793103,1.0154686699675601,0.0320801667899657
2002,EDR 6E- Southwest Central,Central,5693,51877,1.0224497126436782,0.9981528870759817,0.10974034736010178
2002,EDR 6W- Upper Minnesota Valley,Southwest,1818,18378,0.9696,0.9987500679310907,0.098922624877571
2002,EDR 7E- East Central,Central,627,45221,0.947129909365559,1.028755374570603,0.013865239601070299
2002,EDR 7W- Central,Central,4910,143020,0.9919191919191919,1.015557875153555,0.034330862816389314
2002,EDR 8 - Southwest,Southwest,8638,52719,0.9773704458022177,0.9907165542254712,0.16384984540677933
2002,EDR 9 - South Central,Southwest,8962,103353,0.9889649084087397,1.0021817547125902,0.0867125289057889
2002,EDR 10 - Southeast,Southeast,13617,226287,0.9865961454861615,0.9969512598081761,0.06017579445571332
2002,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,17889,1565539,0.9436121953792594,0.9795412069674272,0.011426735456606319
2003,EDR 1 - Northwest,Northwest,1799,36544,0.8493862134088763,1.0143785044134792,0.04922832749562172
2003,EDR 2 - Headwaters,Northwest,693,30243,0.7483801295896328,1.0112010164504481,0.02291439341335185
2003,EDR 3 - Arrowhead,Northeast,807,137524,0.8946784922394678,0.989260306293475,0.005868066664727611
2003,EDR 4 - West Central,Northwest,4739,80728,0.9636030906872712,1.0233760965468282,0.05870329997027054
2003,EDR 5 - North Central,Northwest,1947,60049,1.0490301724137931,1.0252518354106197,0.03242352079135373
2003,EDR 6E- Southwest Central,Central,5662,52046,1.016882183908046,1.0014045754526388,0.10878837951043308
2003,EDR 6W- Upper Minnesota Valley,Southwest,1758,18125,0.9376,0.9850008151730885,0.09699310344827586
