periodyear,planning.region,ag.emp,total.emp,ag.emp.index,total.emp.index,ag.pct.total.emp
2001,Northwest,10325,203390,1,1,0.050764541029549144
2001,Northeast,902,139017,1,1,0.006488415085924743
2001,Central,11699,236759,1,1,0.049413116291249753
2001,Seven County Mpls-St Paul,18958,1598237,1,1,0.011861820243180455
2001,Southwest,18491,174743,1,1,0.10581825881437311
2001,Southeast,13802,226979,1,1,0.060807387467563076
2002,Northwest,10109,205947,0.9790799031476998,1.0125719061900782,0.04908544431334275
2002,Northeast,803,138678,0.8902439024390244,0.997561449319148,0.005790392131412337
2002,Central,11693,240119,0.9994871356526199,1.0141916463576885,0.048696687892253426
2002,Seven County Mpls-St Paul,17889,1565539,0.9436121953792594,0.9795412069674272,0.011426735456606319
2002,Southwest,18208,174451,0.984695257152128,0.9983289745511981,0.10437314776068925
2002,Southeast,13617,226287,0.9865961454861615,0.9969512598081761,0.06017579445571332
2003,Northwest,10179,207564,0.9858595641646489,1.0205221495648753,0.04904029600508759
2003,Northeast,807,137524,0.8946784922394678,0.989260306293475,0.005868066664727611
2003,Central,11972,242017,1.0233353278057953,1.0222082370680734,0.04946759938351438
2003,Seven County Mpls-St Paul,18418,1561059,0.9715159826985968,0.9767381183141174,0.011798400957298859
2003,Southwest,17076,173435,0.9234762857606403,0.9925147216197502,0.0984576354253755
2003,Southeast,13578,225533,0.983770468048109,0.9936293665933853,0.06020404996164641
2004,Northwest,10356,210604,1.003002421307506,1.035468803775997,0.049172855216425136
2004,Northeast,796,138634,0.8824833702882483,0.9972449412661761,0.00574173723617583
2004,Central,12015,246701,1.027010855628686,1.0419920678833752,0.048702680572839184
2004,Seven County Mpls-St Paul,17772,1573592,0.9374406582972887,0.984579883959638,0.011293905917162771
2004,Southwest,16769,174018,0.9068736141906873,0.9958510498274609,0.0963635945706766
2004,Southeast,13310,227477,0.9643529923199536,1.0021940355715726,0.05851140994474167
2005,Northwest,10071,211924,0.9753995157384988,1.0419587983676681,0.04752175308129329
2005,Northeast,524,140024,0.5809312638580931,1.0072437183941532,0.003742215620179398
2005,Central,11971,251517,1.0232498504145653,1.0623334276627288,0.04759519237268256
2005,Seven County Mpls-St Paul,17602,1593962,0.9284734676653655,0.9973251776801563,0.011042923231545043
2005,Southwest,16909,175989,0.9144448650694933,1.007130471606874,0.09607986862815289
2005,Southeast,13459,229647,0.9751485291986669,1.0117543913754137,0.05860734083179837
2006,Northwest,10306,213888,0.9981598062953995,1.0516151236540636,0.04818409634949132
2006,Northeast,507,141637,0.5620842572062085,1.0188466158815108,0.0035795731341386784
2006,Central,12147,257680,1.0382938712710488,1.0883641170979772,0.04713986339646073
2006,Seven County Mpls-St Paul,18005,1615271,0.9497309842810423,1.010657993776893,0.011146736368076936
2006,Southwest,16847,177984,0.9110918825374507,1.018547237943723,0.09465457569219705
2006,Southeast,13250,233324,0.9600057962614114,1.0279541279149171,0.05678798580514649
2007,Northwest,10479,213062,1.0149152542372881,1.0475539603716997,0.04918286695891337
2007,Northeast,413,142425,0.45787139689578715,1.0245149873756447,0.002899771809724416
2007,Central,12208,260488,1.04350799213608,1.1002242786969028,0.046865882497466295
2007,Seven County Mpls-St Paul,19071,1622687,1.0059605443612196,1.0152981066012112,0.01175272865315369
2007,Southwest,17138,177848,0.926829268292683,1.0177689521182536,0.09636318654131618
2007,Southeast,13397,234240,0.9706564266048399,1.031989743544557,0.057193476775956285
2008,Northwest,10787,213641,1.0447457627118644,1.05040070799941,0.05049124465809465
2008,Northeast,517,142368,0.573170731707317,1.0241049655797492,0.003631434030119128
2008,Central,12588,258690,1.0759894008034874,1.0926300584138302,0.048660558970195986
2008,Seven County Mpls-St Paul,16832,1612796,0.8878573689207723,1.0091094124338256,0.010436533820768404
2008,Southwest,17329,178091,0.937158617705911,1.019159565762291,0.09730418718520308
2008,Southeast,13614,234239,0.9863787856832343,1.031985337850638,0.0581201251712994
2009,Northwest,11045,207912,1.0697336561743342,1.0222331481390432,0.05312343683866251
2009,Northeast,441,136744,0.48891352549889133,0.9836494817180632,0.0032250043877610716
2009,Central,12299,246768,1.0512864347380118,1.0422750560696743,0.04984033586202425
2009,Seven County Mpls-St Paul,17222,1541810,0.9084291591940078,0.964694222446358,0.01116998851998625
2009,Southwest,17780,172617,0.96154886160835,0.9878335612871474,0.10300260113430311
2009,Southeast,13606,226917,0.9857991595420953,0.9997268469770331,0.05996024978296029
2010,Northwest,11342,207558,1.098498789346247,1.0204926495894586,0.054644966708100866
2010,Northeast,429,137438,0.47560975609756095,0.9886416769172116,0.003121407471005108
2010,Central,12701,245310,1.0856483460124797,1.0361168952394628,0.05177530471648119
2010,Seven County Mpls-St Paul,17280,1537041,0.9114885536448992,0.9617103095473325,0.011242380652175185
2010,Southwest,17804,171042,0.962846790330431,0.9788203247054246,0.10409139275733445
2010,Southeast,13665,225090,0.9900739023329952,0.9916776441873477,0.060709049713447955
2011,Northwest,11556,208215,1.119225181598063,1.023722896897586,0.05550032418413659
2011,Northeast,464,137823,0.5144124168514412,0.991411122380716,0.0033666369183663106
2011,Central,12589,249628,1.0760748781947176,1.054354850290802,0.050431041389587705
2011,Seven County Mpls-St Paul,18236,1564666,0.9619158139044203,0.9789949800936907,0.011654883534249483
2011,Southwest,18064,172562,0.976907684819642,0.9875188133430237,0.10468121602670345
2011,Southeast,14042,228519,1.017388784234169,1.0067847686349838,0.06144784459935498
2012,Northwest,12387,210562,1.1997094430992736,1.03526230394808,0.058828278606776155
2012,Northeast,429,138502,0.47560975609756095,0.9962954171072602,0.0030974281959827293
2012,Central,13151,253983,1.1241131720659885,1.0727490824002466,0.051779056078556436
2012,Seven County Mpls-St Paul,18533,1590978,0.977582023420192,0.9954581204164339,0.01164880972584159
2012,Southwest,17958,173354,0.9711751662971175,0.9920511837384044,0.1035914948602282
2012,Southeast,14244,233147,1.0320243442979278,1.027174320091286,0.06109450260994137
2013,Northwest,12532,213729,1.2137530266343826,1.0508333743055214,0.058635000397699893
2013,Northeast,408,140321,0.4523281596452328,1.009380147751714,0.0029076189593859793
2013,Central,13670,258803,1.1684759381143688,1.0931073369966928,0.05282009868510025
