Dem_Desc,year,total.earnings,farm.earnings,index.farm.earnings,index.total.earnings,pct.farm.earnings,farm.emp,total.emp
Entirely rural,2001,1297745000,134245000,0,0,0.10344482159438102,10298,56765
Entirely rural,2002,1388435000,132388000,-0.013832917427092258,0.06988275816897772,0.09535052055011578,9398,57009
Entirely rural,2003,1576899000,275387000,1.051376215129055,0.21510697402031986,0.1746383249656446,9138,56580
Entirely rural,2004,1650763000,274300000,1.0432790792953182,0.27202416499389326,0.16616558524754915,8715,56343
Entirely rural,2005,1727412000,347333000,1.5873067898245745,0.33108738619682604,0.20107131361829142,8610,56334
Entirely rural,2006,1734881000,316616000,1.358493798651719,0.3368427541620272,0.18250012536882934,8171,56138
Entirely rural,2007,1804992000,364425000,1.7146262430630563,0.39086800565596475,0.2018984017657696,8141,56168
Entirely rural,2008,2081424000,607571000,3.525837088904615,0.6038774951935858,0.2919016019801828,7918,55780
Entirely rural,2009,1814857000,305080000,1.2725613616894484,0.3984696531290816,0.1681013986225912,8326,55218
Entirely rural,2010,2014337000,422067000,2.144005363328243,0.5521824395393548,0.20953147363127422,8290,54863
Entirely rural,2011,2137217000,499255000,2.7189839472606057,0.6468697625496534,0.23360051880553073,7999,54348
Entirely rural,2012,2546634000,859818000,5.404841893552833,0.9623531587484444,0.3376291999557062,7965,54301
Entirely rural,2013,2700697000,994961000,6.411531155722746,1.0810690852209024,0.3684089699807124,7847,54457
Entirely rural,2014,2248120000,470986000,2.5084062721144176,0.7323279997225958,0.20950216180630926,7510,53967
Entirely rural,2015,2361675000,514926000,2.835718276285895,0.8198297816597251,0.2180342341770142,7753,54463
Entirely rural,2016,2147746000,280035000,1.0859994785653098,0.6549830667812243,0.1303855297600368,7464,53642
Entirely rural,2017,2125464000,209582000,0.5611903609072963,0.6378132838115346,0.09860529277371906,7234,53281
Entirely rural,2018,2260944000,276895000,1.0626094081716264,0.7422097561539439,0.12246875641325039,7270,53757
Entirely urban,2001,99073567000,156520000,0,0,0.0015798361231911637,13969,2200225
Entirely urban,2002,100808046000,158047000,0.00975594173268592,0.01750698044413804,0.0015678014431506787,12798,2187317
Entirely urban,2003,104830677000,241317000,0.5417646307181191,0.058109445075294405,0.0023019692985479815,12577,2197465
